"siiir","denumire","categorie","siruta","localitate","judet"
"0161100108","GRADINITA CU PROGRAM PRELUNGIT NR.16 ALBA IULIA","Grădiniță","1026","ALBA IULIA","AB"
"1061103598","GRĂDINIŢA CU PROGRAM PRELUNGIT ""LUMEA COPILĂRIEI"" MUNICIPIUL RÎMNICU SĂRAT","Grădiniță","44854","RÂMNICU SĂRAT","BZ"
"1061104278","GRĂDINIŢA CU PROGRAM PRELUNGIT ""MUGURAŞII"" MUNICIPIUL RÎMNICU SĂRAT","Grădiniță","44854","RÂMNICU SĂRAT","BZ"
"1361101949","GRĂDINIŢA CU PROGRAM PRELUNGIT ’RIŢA GĂRGĂRIŢA’ AGIGEA","Grădiniță","63269","AGIGEA","CT"
"1361101786","ŞCOALA GIMNAZIALĂ ’MIRCEA ELIADE’ CERNAVODĂ","Școală gimnazială","60785","CERNAVODĂ","CT"
"1361105216","GRĂDINIŢA CU PROGRAM PRELUNGIT ’CĂSUŢA DE TURTĂ DULCE’ CONSTANŢA","Grădiniță","60428","CONSTANŢA","CT"
"1361105478","GRĂDINIŢA CU PROGRAM PRELUNGIT ’LUMEA COPIILOR’ CONSTANŢA","Grădiniță","60428","CONSTANŢA","CT"
"1361105225","GRĂDINIŢA CU PROGRAM PRELUNGIT ’LUMEA POVEŞTILOR’ CONSTANŢA","Grădiniță","60428","CONSTANŢA","CT"
"1361104821","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 6 CONSTANŢA","Grădiniță","60428","CONSTANŢA","CT"
"1361100464","GRĂDINIŢA CU PROGRAM PRELUNGIT ’TIC-PITIC’ HÂRŞOVA","Grădiniță","60810","HÂRŞOVA","CT"
"1361105166","GRĂDINIŢA CU PROGRAM PRELUNGIT ’LUMINIŢA’ LUMINA","Grădiniță","60703","LUMINA","CT"
"1361100957","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 7 MANGALIA","Grădiniță","60491","MANGALIA","CT"
"1461100128","Grădinița cu Program Prelungit Nr. 1 Covasna","Grădiniță","63535","COVASNA","CV"
"1461100675","Școala Gimnazială ""Mihail Sadoveanu"" Întorsura Buzăului","Școală gimnazială","63599","ÎNTORSURA BUZĂULUI","CV"
"1461100829","Școala Gimnazială ""Ady Endre"" Sfântu Gheorghe","Școală gimnazială","63401","SFÂNTU GHEORGHE","CV"
"1461100223","Școala Gimnazială ""Gödri Ferenc"" Sfântu Gheorghe","Școală gimnazială","63401","SFÂNTU GHEORGHE","CV"
"1461100372","Grădinița cu Program Prelungit ""Manócska"" Târgu Secuiesc","Grădiniță","63759","TÂRGU SECUIESC","CV"
"1861106259","GRADINITA CU PROGRAM PRELUNGIT M.EMINESCU (NR 9) TG-JIU","Grădiniță","77821","TÂRGU JIU","GJ"
"1761104661","GRADINITA CU PROGRAM PRELUNGIT NR.17, LOCALITATEA TECUCI","Grădiniță","75212","TECUCI","GL"
"1961103942","GRĂDINIŢA ""ARANYALMA"" MIERCUREA CIUC","Grădiniță","83339","MIERCUREA CIUC","HR"
"1961103996","GRĂDINIŢA ""KIS HERCEG"" MIERCUREA CIUC","Grădiniță","83339","MIERCUREA CIUC","HR"
"1961104102","COLEGIUL REFORMAT ""BACZKAMADARASI KIS GERGELY"" ODORHEIU SECUIESC","Colegiu","83142","ODORHEIU SECUIESC","HR"
"1961104771","GRĂDINIȚA ""CSILLAGVÁR"" ODORHEIU SECUIESC","Grădiniță","83142","ODORHEIU SECUIESC","HR"
"1961103693","GRĂDINIȚA ""ESZTERLÁNC"" ODORHEIU SECUIESC","Grădiniță","83142","ODORHEIU SECUIESC","HR"
"1961104907","GRĂDINIȚA ""FICÁNKA"" ODORHEIU SECUIESC","Grădiniță","83142","ODORHEIU SECUIESC","HR"
"1961104477","GRĂDINIȚA ""KIPI-KOPI"" ODORHEIU SECUIESC","Grădiniță","83142","ODORHEIU SECUIESC","HR"
"1961104174","GRĂDINIȚA ""VILLANYTELEP"" ODORHEIU SECUIESC","Grădiniță","83142","ODORHEIU SECUIESC","HR"
"1961100093","GRĂDINIȚA ""VOINICEL"" TOPLIȚA","Grădiniță","83641","TOPLIŢA","HR"
"2961107057","GRĂDINIȚA STEP BY STEP CU PROGRAM PRELUNGIT ȘI PROGRAM NORMAL ""RAZA DE SOARE"", MUNICIPIUL PLOIEȘTI","Grădiniță","130543","PLOIEŞTI","PH"
"3261101127","GRĂDINIŢA CU PROGRAM PRELUNGIT ""CĂSUŢA POVEŞTILOR"" SIBIU","Grădiniță","143469","SIBIU","SB"
"3261101932","GRĂDINIŢA CU PROGRAM PRELUNGIT ""ELEFĂNȚELUL CURIOS"" SIBIU","Grădiniță","143469","SIBIU","SB"
"3261101466","GRĂDINIŢA CU PROGRAM PRELUNGIT ""FRAȚII GRIMM"" SIBIU","Grădiniță","143469","SIBIU","SB"
"3261101561","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 15 SIBIU","Grădiniță","143469","SIBIU","SB"
"3261102345","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 22 SIBIU","Grădiniță","143469","SIBIU","SB"
"3261101163","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 28 SIBIU","Grădiniță","143469","SIBIU","SB"
"3261100248","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 29 SIBIU","Grădiniță","143469","SIBIU","SB"
"3261102128","GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 43 SIBIU","Grădiniță","143469","SIBIU","SB"
"3261102155","ŞCOALA GIMNAZIALĂ NR. 23 SIBIU","Școală gimnazială","143469","SIBIU","SB"
"3961100373","SCOALA GIMNAZIALA ""MARESAL ALEXANDRU AVERESCU"" ADJUD","Școală gimnazială","174879","ADJUD","VN"
